#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
84	Enigma Enigma	ENG	$109,904,053	$1.47	74,836,171 *	$2,735,198	0.08%	1.89%	1.90%
85	Elastos Elastos	ELA	$108,574,648	$20.71	5,241,953	$3,188,640	0.45%	1.42%	10.85%
86	Monaco Monaco	MCO	$107,408,706	$6.80	15,793,831 *	$28,130,948	-0.41%	0.60%	47.56%
87	Theta Token Theta Token	THETA	$106,479,987	$0.160385	663,902,689 *	$14,046,201	-0.12%	-2.80%	40.86%
88	Loom Network Loom Network	LOOM	$104,699,626	$0.172989	605,240,288 *	$2,056,380	0.16%	6.17%	24.35%
89	Kin Kin	KIN	$104,121,192	$0.000138	756,097,560,976 *	$305,409	-0.18%	-0.57%	10.56%
90	Veritaseum Veritaseum	VERI	$100,876,985	$49.53	2,036,645 *	$336,116	0.52%	3.25%	-4.28%
91	Bibox Token Bibox Token	BIX	$100,348,899	$0.961726	104,342,466 *	$74,021,760	-0.03%	-0.48%	-7.53%
92	Gas Gas	GAS	$100,177,288	$9.89	10,128,375 *	$3,122,345	0.08%	-1.44%	-7.72%
93	WaykiChain WaykiChain	WICC	$99,636,435	$0.591665	168,400,000 *	$6,822,400	0.26%	1.40%	47.66%
94	Nxt Nxt	NXT	$95,351,366	$0.095447	998,999,942 *	$3,097,961	0.04%	-0.30%	1.15%
95	Syscoin Syscoin	SYS	$94,966,194	$0.177149	536,079,488	$865,360	0.44%	1.52%	-2.74%
96	WAX WAX	WAX	$92,121,089	$0.109661	840,052,011 *	$4,206,294	-0.42%	6.16%	-0.39%
97	Decentraland Decentraland	MANA	$90,592,328	$0.086267	1,050,141,509 *	$3,989,206	0.13%	-0.16%	-8.31%
98	Polymath Polymath	POLY	$89,811,400	$0.324909	276,420,107 *	$3,327,993	-0.04%	10.84%	9.64%
99	Scry.info Scry.info	DDD	$87,805,551	$0.258208	340,056,963 *	$984,027	0.55%	-4.39%	-9.78%
100	Nuls Nuls	NULS	$86,930,025	$2.17	40,000,000 *	$1,670,853	-0.04%	4.86%	10.38%
101	Fusion Fusion	FSN	$84,506,399	$2.85	29,684,331 *	$4,232,369	0.31%	-10.94%	-13.54%
102	TrueUSD TrueUSD	TUSD	$83,712,054	$0.999040	83,792,511 *	$14,521,394	0.01%	-0.08%	-0.38%
103	Paypex Paypex	PAYX	$82,175,029	$1.20	68,428,768 *	$8,179	0.10%	1.72%	7.79%
104	Game.com Game.com	GTC	$81,528,242	$0.107071	761,444,190 *	$2,062,286	0.16%	-0.13%	6.35%
105	TenX TenX	PAY	$81,243,517	$0.743986	109,200,361 *	$11,074,774	-0.31%	-11.19%	50.73%
106	QASH QASH	QASH	$79,032,914	$0.225808	350,000,000 *	$1,299,922	0.11%	5.06%	-9.11%
107	Factom Factom	FCT	$78,852,719	$9.02	8,745,102 *	$98,161	0.25%	-0.14%	-8.91%
108	ChainLink ChainLink	LINK	$78,060,665	$0.223030	350,000,000 *	$1,066,691	0.06%	9.45%	23.31%
109	SmartCash SmartCash	SMART	$77,329,531	$0.073383	1,053,773,052	$2,866,499	0.15%	3.34%	0.30%
110	Storm Storm	STORM	$76,888,213	$0.017108	4,494,161,945 *	$13,618,167	-0.03%	3.59%	5.26%
111	Substratum Substratum	SUB	$76,361,976	$0.199368	383,021,000 *	$1,194,464	0.24%	0.15%	-2.37%
112	ZCoin ZCoin	XZC	$76,317,793	$15.01	5,084,067	$834,518	0.11%	2.24%	-9.35%
